urban_cls,n_groundsource_polygons,groundsource_area_km2,philsa_overlap_polygon_share,philsa_overlap_area_weighted_share
rural,6053,3275999.046867258,0.8701470345283331,0.8069048681622644
peri-urban,2289,305104.94978617236,0.9051987767584098,0.8612800938536262
urban,6584,401173.55422269343,0.7258505467800729,0.9947600347109319
