urban_cls,n_active_cells,supported,sat_gap,weak_obs,philsa_only
rural,728,0.1936813186813187,0.37637362637362637,0.30357142857142855,0.12637362637362637
peri-urban,520,0.16538461538461538,0.5826923076923077,0.19038461538461537,0.06153846153846154
urban,2038,0.028949950932286556,0.9185475956820413,0.050049067713444556,0.0024533856722276743
