city,slug,region,philsa_files_in_buffer,groundsource_polygons_in_buffer,noah_active_cells,philsa_spearman_noah_vs_count,groundsource_spearman_noah_vs_score,active_cells_with_any_philsa_share,active_cells_with_any_groundsource_share,active_cells_with_hot_philsa_share,active_cells_with_hot_groundsource_share,active_cells_supported_share,active_cells_sat_gap_share,active_cells_weak_obs_share,active_cells_philsa_only_share
Tuguegarao,tuguegarao,Cagayan Valley,22,173,940,0.29214980464637996,-0.0031035065442444765,0.5297872340425532,1.0,0.31382978723404253,0.6404255319148936,0.21170212765957447,0.42872340425531913,0.2574468085106383,0.10212765957446808
Dagupan,dagupan,Ilocos,22,389,562,0.19288233751529535,0.08301848667196664,0.304270462633452,0.998220640569395,0.17793594306049823,0.7135231316725978,0.12633451957295375,0.5871886120996441,0.23487544483985764,0.051601423487544484
Manila,manila,NCR,25,2652,1311,0.05977893670486161,0.381518988006137,0.10755148741418764,1.0,0.006102212051868803,0.9992372234935164,0.006102212051868803,0.9931350114416476,0.0007627765064836003,0.0
Cagayan de Oro,cagayan_de_oro,Mindanao,15,98,327,0.03717395661965055,0.21719149443494554,0.024464831804281346,1.0,0.0030581039755351682,1.0,0.0030581039755351682,0.9969418960244648,0.0,0.0
Cotabato,cotabato,BARMM,16,104,149,0.07285836502199929,0.09085408349164964,0.1342281879194631,1.0,0.0738255033557047,0.6577181208053692,0.04697986577181208,0.610738255033557,0.31543624161073824,0.026845637583892617
