,philsa_any_in_noah_any_share,ai4g_any_in_noah_any_share,satellite_any_in_noah_any_share,event_weighted_noah_any_recall
urban_share,-0.2727272727272727,-0.2969696969696969,-0.3575757575757575,-0.5030303030303029
noah_any_urban_share,-0.5636363636363636,-0.4909090909090908,-0.5636363636363636,-0.5757575757575757
