,philsa_any_in_noah_any_share,ai4g_any_in_noah_any_share,satellite_any_in_noah_any_share,event_weighted_noah_any_recall
urban_share,-0.2727272727272727,-0.29696969696969694,-0.35757575757575755,-0.5030303030303029
noah_any_share,0.38181818181818183,0.43030303030303024,0.5030303030303029,0.8666666666666665
noah_any_urban_share,-0.5636363636363636,-0.49090909090909085,-0.5636363636363636,-0.5757575757575757
